song_title,artist
Heat Waves,Glass Animals
We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast"
Super Gremlin,Kodak Black
abcdefu,GAYLE
Stay,The Kid LAROI & Justin Bieber
Easy On Me,Adele
Ghost,Justin Bieber
Bad Habits,Ed Sheeran
Shivers,Ed Sheeran
Thats What I Want,Lil Nas X
Cold Heart (PNAU Remix),Elton John & Dua Lipa
Enemy,Imagine Dragons X JID
Need To Know,Doja Cat
Big Energy,Latto
Woman,Doja Cat
Levitating,Dua Lipa
Save Your Tears,The Weeknd & Ariana Grande
Pushin P,Gunna & Future Featuring Young Thug
Industry Baby,Lil Nas X & Jack Harlow
Surface Pressure,Jessica Darrow
One Right Now,Post Malone & The Weeknd
I Hate U,SZA
Bam Bam,Camila Cabello Featuring Ed Sheeran
Hrs And Hrs,Muni Long
'Til You Can't,Cody Johnson
MAMIII,Becky G X Karol G
Light Switch,Charlie Puth
Buy Dirt,Jordan Davis Featuring Luke Bryan
You Right,Doja Cat & The Weeknd
Fancy Like,Walker Hayes
Good 4 U,Olivia Rodrigo
Love Nwantiti (Ah Ah Ah),CKay
Sand In My Boots,Morgan Wallen
Ahhh Ha,Lil Durk
Fingers Crossed,Lauren Spencer-Smith
The Family Madrigal,"Stephanie Beatriz, Olga Merediz & Encanto Cast"
Doin' This,Luke Combs
Knife Talk,Drake Featuring 21 Savage & Project Pat
Essence,Wizkid Featuring Justin Bieber & Tems
Beers On Me,"Dierks Bentley, Breland & HARDY"
To Be Loved By You,Parker McCollum
Boyfriend,Dove Cameron
AA,Walker Hayes
You Should Probably Leave,Chris Stapleton
Never Say Never,Cole Swindell / Lainey Wilson
One Mississippi,Kane Brown
Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert
Numb Little Bug,Em Beihold
She's All I Wanna Be,Tate McRae
Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole
What Else Can I Do?,Diane Guerrero & Stephanie Beatriz
Slow Down Summer,Thomas Rhett
I'm Tired,Labrinth & Zendaya
Do We Have A Problem?,Nicki Minaj X Lil Baby
Nail Tech,Jack Harlow
Sacrifice,The Weeknd
Peru,Fireboy DML & Ed Sheeran
Dos Oruguitas,Sebastian Yatra
23,Sam Hunt
Handsomer,Russ Featuring Ktlyn
Don't Play That,King Von & 21 Savage
Broadway Girls,Lil Durk Featuring Morgan Wallen
Half Of My Hometown,Kelsea Ballerini Featuring Kenny Chesney
Smokin Out The Window,Silk Sonic (Bruno Mars & Anderson .Paak)
Circles Around This Town,Maren Morris
Me Or Sum,"Nardo Wick, Lil Baby & Future"
Freaky Deaky,Tyga X Doja Cat
Heart On Fire,Eric Church
Beautiful Lies,Yung Bleu & Kehlani
Pressure,Ari Lennox
The Motto,Tiesto & Ava Max
Publicity Stunt,Gucci Mane
War,King Von
If I Was A Cowboy,Miranda Lambert
P Power,Gunna Featuring Drake
High,The Chainsmokers
Rocking A Cardigan In Atlanta,Lil Shordie Scott
Never Wanted To Be That Girl,Carly Pearce & Ashley McBryde
Rumors,Gucci Mane Featuring Lil Durk
Banking On Me,Gunna
I Hate YoungBoy,YoungBoy Never Broke Again
Ay!,Machine Gun Kelly & Lil Wayne
Waiting On A Miracle,Stephanie Beatriz
Oh My God,Adele
I Love You So,The Walters
By Your Side,Rod Wave
To The Moon!,JNR CHOI & Sam Tompkins
Flower Shops,ERNEST Featuring Morgan Wallen
Neighborhood Superstar,DaBaby & YoungBoy Never Broke Again
City Of Gods,"Fivio Foreign, Kanye West & Alicia Keys"
Give Heaven Some Hell,HARDY
Facetime,King Von Featuring G Herbo
Straight To It,King Von Featuring Fivio Foreign
Cigarettes,Juice WRLD
Do It To It,Acraze Featuring Cherish
Evil Twins,King Von & Lil Durk
Trust Nothing,King Von Featuring Moneybagg Yo
Iffy,Chris Brown
Closer,Saweetie Featuring H.E.R.
When I'm Gone,Alesso / Katy Perry
